dataset,doc_id,seg_id,english,chinese,char_count,word_count,char_bin,word_bin
wmttest2024.en-zh.xml,test-en-news_scotsman.87458,3,"Thus, we had the introduction of the Cost of Living (Tenant protection) (Scotland) Act 2022 nearly 18 months ago which sought to cap rents for a limited period to ease the pressures of the cost-of-living crisis. What we find now from the latest Scottish Government statistics is that, in the last year alone, average rents have increased in all sized properties, ranging from the lowest rise of 11.7 per cent for one-bedroom to the highest figure of 14.3 per cent for two-bedroom homes. Every type of property (from one to four bedroom to a room in a property) has had a double digit increase in rents since the Cost of Living legislation was introduced in October 2022, exceeding the annual average increases in rents over the previous 12 years by a factor of at least three.",因此，我们在近18个月前出台了2022年《生活成本（租户保护）（苏格兰）法案》，试图在有限的时间内限制租金，缓解生活成本危机的压力。我们从苏格兰政府的最新统计数据中发现，仅去年一年，所有大小房产的平均租金都有所上涨，一居室的租金涨幅最低，为11.7%，两居室的租金涨幅最高，为14.3%。自2022年10月生活成本立法出台以来，从一居室到四居室，再到房产中的一个房间，各种类型房产的租金都出现了两位数的增长，较之前12年的年均租金增幅至少高出三倍。,776,136,750-999,100-149
wmttest2024.en-zh.xml,test-en-speech_YGkZRb3aer8_001,1,"To create the antique brass ornament, I just went in with a coat of rub and buff onto the entire ornament there. And then of course, we have to get that antique look with the alcohol ink. So I went in with ginger first, I applied a droplet onto our ornament and just blended it out like so. And I just continued that process until I had as many layers as I liked, and it looked really antique in like an actual metal ornament. After that, I did go in with a little bit more of that burnished amber spray paint as well to supply that to the surface, to kind of give it that oxidized look like we did for the bell ornaments. And that is how I finished off these antique brass bubbles. Really simple and easy, but honestly, they look like real metal and they're beautiful.",为了制作仿古黄铜装饰品，我涂了一层rub涂料，然后把它抹到整件装饰品上。接下来，当然还需要用酒精墨水打造古色古香的样子。我首先放了姜。我在装饰品上滴了一滴，然后像这样把它混合起来。接着重复同样的步骤，直到弄出想要的层数，它看起来真的很有历史感，就像一件真正的金属装饰品。然后，我又加了一些抛光琥珀色喷漆，把它涂在表面，打造被氧化的感觉，就像之前处理铃铛装饰品那样。就这样，这些仿古黄铜装饰品就做好了。真的非常简单容易，但老实说，它们看起来就像真的金属一样，漂亮极了。,769,149,750-999,100-149
wmttest2024.en-zh.xml,test-en-literary_detestable_chunk_2_words_945,7,"The days rolled past before I could even realize it. It was a few days since Alborn was taken away – to where I had no clue, but I knew he was taken somewhere. Those outfits seemed familiar, but no way was I going to figure it out on the first try. Sighing, I placed my hands on the system in front of me, emanating a red and purple glow – I could hack the security, the place isn’t far, and I doubt they took measures...Maybe I shouldn’t. Of course, against all morals, my fingers moved without my knowing, pulling up multiple screens; god I’m good. I was pretty popular on a couple of websites, they referred to me as “WRAITH.” Which was a pretty catchy name. Granted my name on any site is WR417H, but I like to think the public came up with it.",日子在无意识中一天天过去。艾尔伯恩被带走已经几天了——我不知道他被带去了哪里，但肯定在某个地方。那些人的穿着很眼熟，一时之间却也难以回忆起来。我叹了口气 ，双手放在面前的系统上，一道红紫色亮光随之射出——我可以黑进他们的安全系统，那地方也不远，而且我怀疑他们没有采取任何措施……或许我不该这么做。当然，尽管道德上不允许 ，我的手指却在无意识地移动，拉出来好几个屏幕。天哪，我还挺在行。我在几家网站上很受欢迎，人称“幽灵”。 挺响亮的名字。的确我的网名一直都是WR417H，不过我倒愿意这名字是大家伙给我取的。,748,146,500-749,100-149
wmttest2024.en-zh.xml,test-en-literary_detestable_chunk_2_words_945,10,"Irregularly, Anton’s was pretty busy; it was bustling with activity and new faces that I’ve never seen before – Anton was regularly the only worker, so knowing that he must be pretty stressed. “Hey Barkeep, get me a coffee.” I purposely spoke in a lower tone to throw him off a bit, a small chuckle escaping me seeing his sigh of relief after turning quickly. “God, Lilith, don’t do that to me…” he softly let out, obviously tired. “You seem pretty busy…you need some help? Look’s like there's more than plenty of folks here.” I huffed out, I do not want to help with these drunks, but I feel bad making this guy work alone out here. “Could you? I’ll pay you after…” he uttered with the eyes of a puppy, aimed straight at me. Advanced War Tactics…",安东的店里时不时会很忙。那里熙熙攘攘，充斥着我从未见过的新面孔——安东通常是店里唯一的员工，我知道他的压力一定很大。“嘿，酒保，给我来杯咖啡。” 我故意压低声音来迷惑他，看到他迅速转身后如释重负的样子，我不禁咯咯地笑了起来。“天啊，莉莉丝，别那样……”他的声音很轻，显然是累了。“你看起来很忙……需要帮助吗？看来这儿人可真多啊。” 我有些生气地说。我不想招待这些个醉鬼，但让他一个人忙来忙去我又很愧疚。“可以吗？我稍后付你钱……”他说着，用小狗般楚楚可怜的眼神盯着我。这战术可真高级……,747,138,500-749,100-149
wmttest2024.en-zh.xml,test-en-news_economist.14223,6,"Thomas Puls of IW Köln fears that the strikes will harm the image of Germany as a place for business. Local bosses are already fretting about a German version of the gilets jaunes protests in France in 2018, which culminated in yellow-jacketed demonstrators torching cars on the Champs-Elysées and the police stepping in with tear gas. Jochen Kopelke, head of Germany's police union, warned in an interview with Tagesspiegel, a daily, that the farmers were probably ""just the start of an enormous wave of protest this year."" Germany was the only big economy to shrink in 2023, and the year ended on an especially sour note, with an unexpected drop in business confidence in December. This year is shaping up to be even tougher.",IW Köln的托马斯·普尔斯担心，罢工将损害德国作为商业中心的形象。2018年，法国爆发黄马甲运动，示威者在香榭丽舍大街点燃汽车，警察则以催泪瓦斯回应，德国老板担心这一幕将在德国重演。德国警察工会主席约亨·科佩尔克在接受《每日镜报》采访时警告称，农民抗议活动可能“只是今年大规模抗议浪潮的开始”。 2023年，德国是全球唯一一个出现萎缩的大型经济体，年末形势尤其严峻，12月商业信心指数意外下降。今年形势将更加严峻。,727,124,500-749,100-149
wmttest2024.en-zh.xml,test-en-literary_detestable_chunk_1_words_982,2,"The advancement of Humanity never ceased, even for a moment–during difficult times we grow and adapt once again. The cities are as prosperous as ever, and our technological advancement is rising. With our recent discovery of Ignniat, humanity has once skyrocketed past its peak; the greatest has yet to be achieved. This grace of newfound knowledge could only be described as divine intervention - we humanity will be able to grace the gods with our presence in their land in the clouds. Everyone within the company of Karascene has evaluated Ignniat and we sense a large potential within this mineral – worry not, Ignniat has not been evaluated to have any side effects or downsides of being mined, it has a higher chance to–",人类从未停止前进的脚步，即便是片刻——我们在困境中成长、调整，然后涅槃重生。城市一如既往地繁荣，科技进步更是日新月异。最近随着Ignniat的发现，人类再次取得了突破性的进展，更辉煌的成就在等着我们去创造。这次的新发现只能用“天降神助”来容易。据此，人类将能够腾上云端，为诸神带来荣光。Karascene公司所有人都对Ignniat进行了评估，大家无一例外地意识到了这种矿产所蕴含的巨大潜力——别担心，Ignniat尚未被评估发现存在任何副作用或是开采方面的不利因素，而是更有可能——,726,124,500-749,100-149
wmttest2024.en-zh.xml,test-en-news_economist.14223,4,"In an effort to defuse the tension with the farmers, the government agreed to a gradual removal of the diesel subsidy over three years and to keeping the exemption from the car tax. The farmers pooh-poohed the concessions as insufficient. On January 4th an aggressive group of them prevented Robert Habeck, the economy minister, from disembarking from a ferry on his return from a family holiday. If the train drivers are similarly unimpressed, that could prove expensive for German business, reckons IW Köln, a think-tank. The rail strike could cost businesses €100m ($110m) a day if it forced them to interrupt production. The car, chemical and steel industries, Germany's biggest, are especially reliant on rail transport.",为了缓和与农民之间的紧张关系，德国政府同意在三年内逐步取消柴油补贴，并继续免除汽车税。农民们对这些让步嗤之以鼻，认为力度不够。1月4日，德国经济部长罗伯特·哈贝克从家庭度假归来，被一群激进分子堵在渡轮上。智囊团IW Köln认为，如果列车司机同样不接受政府提出的方案，那么德国企业将付出高昂的代价。如果铁路罢工迫使企业中断生产，每天可能损失1亿欧元（1.1亿美元）。德国最大的汽车、化工和钢铁行业尤其依赖铁路运输。,725,116,500-749,100-149
newstest2018.en-zh.xml,004_20180118a00o3b,26,"The problem did not stop there. As house prices continue to fall, a new situation emerged: The money the bank got after auctioning the defaulted house was less than the loan the home buyer owed the bank, the home buyer still need to repay the loan. So stopping repayment does not necessarily mean that you are cleaned of the debt. For example, if you paid a down payment of $600,000 and borrowed $2.4 million to buy a house worth $3 million at the time. When the house price falls to $2 million, you stop to repay the loan and give the house to the bank. After the bank auctions the house, you will not only lost your down payment of $600,000, but also owed $400,000 debts to the bank. You still have to repay the debt.",而问题不止如此，因为房价的持续下跌，大家停止还贷把房子给银行之后并不是你就没有债务了，如果银行拍卖房子得到的钱还还不上你欠银行的贷款的话，那么你还是需要接着还钱，简单点说假设你用首付60万，贷款240万买了一套当时价值300万的房子，当房价下跌到这个房子只值200万的时候，你不再还贷把房子给了银行，银行拍卖房子之后，你不仅损失了自己的首付60万，还倒欠银行40万的债务，你还是要接着还钱。,719,136,500-749,100-149
wmttest2024.en-zh.xml,test-en-news_ventures_africa-ar.1773,4,"Speaking on behalf of Edu, Rasheed Zubair, her media aide, asserts that the act is legal within the framework of the Nigerian civil service. However, it is crucial to note that the request violates various sections of Nigeria's Financial Regulations 2009, which explicitly prohibit fraud and other forms of corruption in government business. Additionally, Chapter Seven, Section 713 of Nigeria's Financial Regulations 2009 explicitly states, ""Personal money shall in no circumstances be paid into a government bank account, nor shall any public money be paid into a private account."" It further stipulates, ""Any officer who pays public money into a private account is deemed to have done so with fraudulent intention.""",埃杜的媒体助手拉希德·祖贝尔表示，该行为在尼日利亚公务员制度框架内是合法的。但必须指出的是，该行为违反尼日利亚2009年《金融条例》的多个条款，其中明确禁止政府事务中的欺诈和其他形式的腐败行为。此外，尼日利亚2009年《金融条例》第七章第713条明确规定，“在任何情况下，均不得将个人资金存入政府银行账户，也不得将任何公共资金存入私人账户。” 该条例还规定，“任何将公共资金存入私人账户的官员都被视为具有欺诈意图。”,718,111,500-749,100-149
newstest2021.en-zh.xml,nytimes.268790,8,"Enter Xerxes's widowed mother, Queen Atossa (Lydia Koniordou), in a rather large black gown that appears to wear her, rather than the reverse; she is a human in an exoskeleton of fabric, both vulnerable and formidable. Koniordou, who is among Greece's greatest stage actresses, knows the role inside out - she directed and starred in an earlier National Theater of Greece production of ""The Persians"" that played New York City Center in 2006 - and she anchors the proceedings without seemingly doing much at all. For the most part, she stands in the middle of the circular stage, effortlessly projecting smoldering fury and agonizing sorrow as the scope of the disaster that befell the home troops is revealed.",薛西斯一世的母亲波斯太后阿托莎(Atossa)出场，身着一身黑色长袍，她既柔弱又强大。作为希腊最伟大的舞台女演员之一的科尼奥杜（Koniordou）深谙角色特点——她导演并亲自出演过希腊国家剧院的早期作品《波斯人》，该作品于2006年在纽约市中心公开演出；对于角色的诠释，她显得毫不费力。多数情况下，她站在圆形舞台的中间，毫不费力地表现出愤怒和痛苦等情绪，刻画揭示了本国军队遭受的灾难程度。,710,118,500-749,100-149
newstest2018.en-zh.xml,004_20180118a00o3b,6,"The People's Daily Overseas Edition published a commentary titled “Awards and Loans: The Joy and Worries of Struggling Young People” on January 17th. The article cited some data from an report on the progress of nationwide financial deleveraging in the 3rth quarter jointly published by the National Laboratory of Finance and Development of the Chinese Academy of Social Sciences and the National Balance Sheet Research Center in November 2017. According to the report, the leverage ratio of the residents' sector continues to climb, rising from 47.4% in the second quarter of 2017 to 48.6% in the third quarter, an increase of 1.3%, which amounts to an increase of 3.8% in the first three quarters of 2017.",《人民日报》海外版于1月17日发表了评论文章《奖与贷︰奋斗青年的乐与忧》，根据文中的数据显示，2017年11月，中国社科院国家金融与发展实验室、国家资产负债表研究中心发布的《三季度中国去杠杆进程报告》指出，居民部门杠杆率依然延续上升趋势，从2017年二季度的47.4%上升到三季度的48.6%，上升了1.3个百分点，2017年前三个季度上升了3.8个百分点。,707,116,500-749,100-149
newstest2020.en-zh.xml,guardian.260755,3,"Hickey is a part of ""bookstagram,"" the corner of Instagram combining a love of books with stylized, eye-catching photos, to the delight of large fanbases. The bookstagram tag has been used on over 35m Instagram posts, and the more popular bookstrammers have upwards of 100,000 followers (for comparison, the Instagram for the New York Times book section has about 69,000 followers.) There are enough people joining bookstagram that a slew of articles have cropped up, advising would-be bookstagrammers on best practice, how to manage Instagram's ""pesky algorithm"" and the best budget-friendly props. Some accounts focus on old books, or books by authors of color, many play with elaborate staging.",希基是“书讯”的用户，这个照片墙上的标签通过各种风格各异、吸引眼球的照片，记录对书籍的热爱，让众多粉丝们欣喜若狂。书讯标签已被超过 3500 万个照片墙帖子转发，而受欢迎的书讯博主拥有超过 10 万个关注者（相比之下，《纽约时报》图书版的照片墙拥有大约 6.9 万个关注者。） 众多用户加入了书讯，出现了大量贴文， 建议 书讯博主们采用最佳实践，来管理照片墙“讨厌的算法”并利用最经济实惠的道具。一些账户以旧书为焦点，或聚焦于不同背景作者的书，许多都是经精心策划设计。,697,109,500-749,100-149
newstest2018.en-zh.xml,051_content_109315,1,"(Reporter: Lu Bo) On May 12, Deputy Mayor Chen Lvping arrived at Yongchuan to inspect the status of the implementation of rectifications from the feedback and opinions of the Central Environmental Inspection Group as well as the comprehensive treatment of river basins by the region, as well as to hold a forum. It was understood that Yongchuan had set up a task force for the purpose of conscientiously carrying out the rectification task resulting from the feedback and opinions of the Central Environmental Inspection Group. The rectification task was broken down into 21 regional-level leading departments, and 23 leading towns and streets. The relevant rectification has fully commenced.",本报讯（记者卢波）5月12日，副市长陈绿平赴永川，就该区落实整改中央环保督察反馈意见和临江河流域综合治理进行调研，并举行座谈会。 据了解，为扎实抓好中央环保督察反馈意见整改工作，永川区成立了工作领导小组，将整改任务分解到21个区级牵头部门和23个牵头镇街，相关整改工作已全面启动。,692,108,500-749,100-149
