cefr_a,cefr_b,level_distance,level_dist_weight,threshold_used,needs_screening,source_a,source_b,text_a,text_b,similarity,score,avg_word_len_delta,ttr_delta,num_words_delta
A1,B1,2,1.2,0.6,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Pius V died on 1 May 1572 .,Pius V died on 1 May 1572 of what is believed to be cancer .,0.9025,1.083,0.533,0.0,7.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Messier 49 has the radio emission of a normal galaxy .,"As an elliptical galaxy , Messier 49 has the physical form of a radio galaxy , but it only has the radio emission of a normal galaxy .",0.901,1.0812,0.306,0.292,15.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Geordi was born blind and must wear a VISOR to help him see .,"In the series , we learn that Geordi was born blind and wears a VISOR , an arc-shaped prosthetic attached at the temples that provides him with vision .",0.8948,1.0737,0.829,0.074,14.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"In order to make it possible for all the Form 3 students to study as Form 4 in the school , the school changed the class structure .","In order to enable the promotion of all Form 3 students to Form 4 in the school , the school altered the class structure to a symmetrical one .",0.8934,1.072,0.232,0.028,1.0
A1,B1,2,1.2,0.6,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He has many works .,His works are numerous .,0.8924,1.0708,1.25,0.0,0.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The failure rate of a system usually depends on time , with the rate varying over the life cycle of the system .","Failure rate is usually time dependent , and an intuitive corollary is that the rate changes over time versus the expected life cycle of a system .",0.8867,1.0641,0.57,0.126,4.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"She died on June 9 , 2014 , at the age of 103 .","She died of esophageal cancer in Tokyo on 11 January 2014 , aged 80 .",0.6645,1.0632,1.625,0.0,2.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,There are various factors that can make a seller more or less willing to produce and sell a good .,Innumerable factors and circumstances could affect a seller 's willingness or ability to produce and sell a good .,0.885,1.062,1.117,0.058,1.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Worldwide production of apples in 2013 was 90.8 million tonnes .,"Worldwide production of apples in 2017 was 83.1 million tonnes , with China accounting for half of the total .",0.8846,1.0615,0.562,0.062,8.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 6 January 2015 , aged 82 .","He died on 17 January 2018 from hypothermia , four days after his 52nd birthday .",0.6628,1.0604,1.109,0.0,6.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Tickets went on sale to the public on November 3 , 2007 .","Tickets for the event commenced sale to the public on November 3 , 2007 .",0.8827,1.0592,0.505,0.02,2.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The shell color keeps the animal hidden in the water .,The shell colouration also keeps the animal cryptic in the water .,0.882,1.0584,0.609,0.018,1.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Grosics died on 13 June 2014 , aged 88 .",Grosics died on 13 June 2014 after suffering from cardiac and lung problems .,0.8818,1.0582,0.982,0.0,6.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"In 2015 , the aquarium had 2.02 million visitors .",The aquarium has 2 million annual visitors .,0.8808,1.057,0.667,0.0,0.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He died on 12 May 2019 at the age of 80 .,"He died on 17 January 2018 from hypothermia , four days after his 52nd birthday .",0.6606,1.0569,2.284,0.0,3.0
A1,C2,5,1.8,0.5,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/elg_cefr_en,We have so many good things to eat for dinner .,"Food

There is something very elemental and satisfying about our relationship with food. I know
I may be preaching to the converted, because presumably people keen on cooking buy cookery books like this one, but so often we imagine that, unless it is some special occasion or an especially elaborate dish, it is hardly worth attempting. Not so. Just by throwing a few roughly chopped carrots, a leek, some celery and a few herbs into water you will get the most delicious soup. This is much more satisfying than buying a packet or opening a tin. Instead of buying an over-sweet chocolate mousse full of preservatives, emulsifiers and additives, in five minutes you can turn out the most delicious confection that both grown-ups and children will love.
Cooking is also an offering, and it is a gesture of care and love to bring once own creation, however humble or simple, to the table. Sharing food is so rich in symbolism, of our deepest human needs, that it is hardly surprising all our festivities and celebrations take place around tables, be they birthdays, anniversaries, engagements or whatever! No one would have a takeaway for a wedding or anniversary party! Nor would many people wish to have a business deal discussed over tinned soup.

In the Elevator

This morning, Alistair had made a stab at straightening up his office, but correspondence still littered every surface. Quarterly tax forms, state and federal, bulged out of desk drawers and cardboard boxes, all waiting on a day when he was in the filing mode. And then there was all the added paperwork that went along with owning an apartment building. The hundred-odd books and a few years’ worth of journals were only in proximity to the new bookshelves.
As the elevator bore him closer to his floor, he knew that Mallory would be on time for their appointment. She would be knocking on the door of his empty office on the hour, not a second before or after. She was as compulsive about time as she was about neatness.
How would she react to the mess? She might assume he’d been vandalised. He could walk in behind her and feign shock.
Mrs Wilson, his cleaning woman, had arrived while he was scrambling around on the floor, trying desperately to clear a few square feet of the carpet. Putting his head out of the office door as she was turning her key in the lock of his apartment, he had smiled at her, his eyes filled with hope. Her own eyes had turned hard. Fat chance I’m going in there, said the back of her head as she had disappeared into his residence, which was her territory and all that she might be held accountable for.
He knew Mrs Wilson believed him to be a visitor from somewhere else, perhaps some point straight up, miles out, but nowhere on the surface of her own earth, which was square and shaped by the streets of Brooklyn.

KAREN

It was a simple desire - not to be like her mother - that led Karen to create her own story, her own mythology, a mythology of difference and strength. Tn the tale that she constructed for herself, there were significant moments in her progress; such as the day she was twelve years old and her brother quick-swung a golf club behind him and hit her full in the eye. At the first moment of impact, she was convinced of immediate blindness. But the bone hod protected her, as the doctor from the high-walled house later assured her. The golf club had clean missed the eye and she was left with only a few stitches that healed to a pole drawing of past suffering. When she opened her eyes in the doctor’s white-walled consulting room, overlooking the tennis courts, ond saw her mother clear before her, muttering predictably and paradoxically about both miracles and small mercies, she knew that she was saved for some purpose.

Miss Fogerty

Miss Fogerty, returning briskly to her duties across the wet grass of the village green, was both excited and saddened by the scene she had just witnessed. It is always exhilarating to be the first to know something of note, particularly in a small community, and Miss Fogerty’s quiet life held little excitement. On the other hand, her grief for Dr Bailey’s condition was overwhelming. He has attended her for many years and she remembered with gratitude his concern for her annual bouts of laryngitis which were, fortunately, about the only troubles for which she had to consult him.
His most valuable quality, Miss Fogerty considered, was his making one feel that there was always plenty of time, and that he truly wished to hear about his patients’ fears and perplexities. It was this quality, above all others, which had so endeared the good doctor to the village and its environs. He had always been prepared to give — of his time, of his knowledge, and of his humour. His reward had been outstanding loyalty and affection.",0.5863,1.0553,0.896,0.513,842.0
A2,C1,3,1.4,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 12 July 2019 , four days before his 85th birthday .","He died on 17 January 2018 from hypothermia , four days after his 52nd birthday .",0.7537,1.0551,0.798,0.0,2.0
B1,C1,2,1.2,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Swift died at home on 1 February 2019 , following a short illness , eight days before his 83rd birthday .","Swift died at home in London from respiratory failure on 1 February 2019 , aged 82 .",0.8793,1.0551,0.05,0.0,3.0
A1,B1,2,1.2,0.6,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Bopp died on January 6 , 2018 at the age of 68 .","Bopp died of liver failure on January 5 , 2018 , at the age of 68 .",0.8784,1.0541,0.352,0.091,3.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Usually , the female builds the nest , and the male helps her .","After mating , the male shows the female all the potential nest sites , and lets the female choose one and build the nest .",0.8754,1.0504,0.091,0.136,11.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The upper side of the wings is a dark reddish - brown color .,The upperside of the wings is dark reddish brown with the forewing sometimes having white submarginal spots .,0.872,1.0464,1.52,0.034,5.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Modern ketchup emerged in the early years of the 20th century .,"Modern ketchup emerged in the early years of the 20th century , out of a debate over the use of sodium benzoate as a preservative in condiments .",0.8701,1.0441,0.22,0.14,15.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Pannella died on 19 May 2016 of lung and liver cancer in Rome , aged 86 .","Pannella died on 19 May 2016 of cancer , after agreeing to be sedated .",0.8699,1.0438,0.538,0.0,1.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He died on 12 May 2019 at the age of 80 .,"He died on June 21 , 2014 from acute respiratory failure after being hospitalized with pneumonia , aged 88 .",0.6521,1.0434,2.946,0.0,6.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Modern Japan is divided into 47 prefectures .,"Japan is divided into 47 prefectures , each overseen by an elected governor , legislature and administrative bureaucracy .",0.868,1.0416,0.767,0.0,9.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The President is limited to a single five -year term .,"Under the 1992 constitution , the President is limited to a single five -year term .",0.8679,1.0415,0.569,0.077,3.0
B1,C1,2,1.2,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,There are few characteristics common to all blues .,"There are few characteristics common to all blues , as the genre takes its shape from the peculiarities of each individual performance .",0.8672,1.0406,0.083,0.048,13.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"She died on 12 February 2019 , at the age of 79 .","She died of esophageal cancer in Tokyo on 11 January 2014 , aged 80 .",0.6479,1.0366,1.125,0.0,2.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Holland died of a heart attack on 24 December 2017 in New York City at the age of 89 .,"Holland died of complications of cardiovascular disease on December 24 , 2017 , at the age of 89 .",0.8624,1.0349,1.683,0.091,3.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Over the years she has worked in various styles including jazz and art song .,"Over the years she has worked in various genres including jazz and art song , but generally with a sparse and somber tone to it .",0.8614,1.0337,0.179,0.042,10.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,A serf had some freedom .,"Within his constraints , a serf had some freedoms .",0.8593,1.0312,1.2,0.0,3.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 6 January 2015 , aged 82 .",He died on 11 May 2018 at the age of 52 from cardiac arrest .,0.7342,1.0278,0.345,0.0,6.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"She died on 12 February 2019 , at the age of 79 .",She died on 13 February 2019 in Rome from lymphoma at the age of 79 .,0.7338,1.0273,0.375,0.0,4.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"As an architectural ornament , spires are most often found on Christian churches .","As an architectural ornament , spires are most consistently found on Christian churches , where they replace the steeple .",0.8559,1.0271,0.299,0.0,5.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Oxygen is the most common element by mass on Earth .,"Oxygen is the most abundant chemical element by mass in the Earth 's biosphere , air , sea and land .",0.8557,1.0268,0.178,0.056,8.0
A2,B2,2,1.2,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Usually , the female builds the nest , and the male helps her .","The male then leads the female to potential nest sites , and the female will choose one .",0.8537,1.0244,0.102,0.006,5.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The bones were those of a very short man , just over four feet tall .","The bones were those of a very short man , little over four feet tall , who may have suffered from a form of congenital dwarfism .",0.853,1.0236,0.494,0.083,10.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He died on 18 October 2017 .,He died on 11 May 2018 at the age of 52 from cardiac arrest .,0.7303,1.0224,0.295,0.0,7.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"English died on November 16 , 2018 in London at the age of 81 .","He died in England on November 16 , 2018 at the age of 81 , due to complications of hip surgery .",0.7292,1.0209,0.163,0.062,6.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Although American units were usually able to get new troops quickly , the replacements rarely had enough training .","Although American units were usually able to replenish their numbers quickly , the replacements rarely had sufficient tactical training .",0.8507,1.0209,0.856,0.0,1.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He died on 4 August 2018 .,"He died on 17 January 2018 from hypothermia , four days after his 52nd birthday .",0.6366,1.0185,1.409,0.0,7.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"However , several fishermen died since the 1980s .",Controversy surrounds the death of several fishermen since the 1980s .,0.8485,1.0182,0.167,0.111,3.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Usually , sex is determined by an organism 's genes .","In genetic sex-determination systems , an organism 's sex is determined by the genome it inherits .",0.8485,1.0182,0.493,0.062,7.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The port of the mosque measures 27 meters high .,"The port of the mosque measures 27 m high , crowned with two minarets 42 m tall .",0.8485,1.0181,0.357,0.018,6.0
A1,B1,2,1.2,0.6,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Lamarck died in Paris in 1829 .,Lamarck gradually turned blind ; he died in Paris on 18 December 1829 .,0.8453,1.0143,1.0,0.2,5.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The 1880 census found the population of the United States to be 50,189,209 .","The 1880 census determined the resident population of the United States to be 50,189,209 , an increase of 30.2 percent over the 38,555,983 persons enumerated during the 1870 Census .",0.8447,1.0137,0.81,0.079,12.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"As an example , see the picture below : As one song ends , the next song begins .","As an example , see the following graphic : As song one begins to fade out the next song begins .",0.842,1.0104,0.178,0.022,3.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 3 May 2015 , aged 84 , after a long illness .","He died on 17 January 2018 from hypothermia , four days after his 52nd birthday .",0.631,1.0096,1.354,0.0,2.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Sometimes , voice- tracking is done so that people can do other jobs .","In some cases , voice- tracking is done in order to give station employees the flexibility to carry out other responsibilities .",0.8408,1.0089,0.7,0.1,8.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 3 May 2015 , aged 84 , after a long illness .",He died on 21 June 2014 from acute respiratory failure after being hospitalized with pneumonia .,0.6303,1.0085,2.137,0.0,4.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,A small number of missing person cases are not solved for many years .,"By contrast , some missing person cases remain unresolved for many years .",0.8403,1.0083,1.147,0.0,2.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"On 9 December , it was confirmed that at least 80 foreign heads of state and government would travel to South Africa to attend events .",On 9 December the government confirmed that about 90 foreign heads of state and government and 15 former leaders would travel to South Africa to attend funeral events .,0.8376,1.0052,0.587,0.075,3.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died , aged 80 on 23 July , 2014 .","He died on 17 January 2018 from hypothermia , four days after his 52nd birthday .",0.6276,1.0042,1.709,0.0,6.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/readme_en,UniversalCEFR/readme_en,"And the little prince went away, puzzled.","This was a very short visit, but it plunged the little prince into deep dejection.",0.7143,1.0001,0.314,0.0,8.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 6 January 2015 , aged 82 .","He died in England on November 16 , 2018 at the age of 81 , due to complications of hip surgery .",0.713,0.9982,0.263,0.062,11.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He died on 12 May 2019 at the age of 80 .,He died on 11 May 2018 at the age of 52 from cardiac arrest .,0.713,0.9981,0.83,0.0,3.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Long died on January 15 , 2017 , at the age of 63 .","He died on 17 January 2018 from hypothermia , four days after his 52nd birthday .",0.6237,0.998,1.534,0.0,3.0
